dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[mean],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates,horizon,ttm_context_len,available_context_len,finetune_success,finetune_train_num_samples,finetune_valid_num_samples,insample_error
jena_weather/10T/long,TTM-R3-FT,1464.8620053155655,1464.8620053155655,9.985576800747031,9.985576800747031,0.666249054682308,0.8240586117838659,0.6520958197374088,6.632999208070032,38.27351571668803,0.23420220548632006,0.06110345668527886,0.05134938070819838,Nature,21,720,2048,46944,True,1001,1000,0
m4_quarterly/Q/short,TTM-R3-FT,1765986.0262067213,1765986.0262067213,559.0449626936118,559.0449626936118,1.168545138740635,0.11604135847507024,0.10180204213115417,10.19544924760842,1328.904069602739,0.2224351442773866,0.09357428408769428,0.07630456117532151,Econ/Fin,1,8,156,16,True,25000,1000,0
m_dense/H/long,TTM-R3-FT,33951.15138918834,33951.15138918834,80.37924394166764,80.37924394166764,0.6857198166025853,0.25730857067280993,0.19905708804484593,7.671790134774663,184.25838214091738,0.31897849782776866,0.13914835347591678,0.11496230816694854,Transport,1,720,2048,15360,True,65124,50000,0
restaurant/D/short,TTM-R3-FT,153.3134339754048,153.3134339754048,7.508466547867036,7.508466547867036,0.7149199173636365,0.6895019537485219,0.41021896538124986,4.945808319319251,12.381980212203732,0.5698474181255173,0.34555702747503675,0.2711371727451169,Sales,1,30,512,37,True,10807,1000,0
saugeen/D/short,TTM-R3-FT,1078.6622053069455,1078.6622053069455,11.760295787752057,11.760295787752057,2.612411924044652,0.27119760967975226,0.3026937948454581,31.13156293373764,32.84299324524099,1.0637923765628825,0.3809187826370854,0.33642774743536896,Nature,1,30,2048,23141,True,1001,1000,0
saugeen/M/short,TTM-R3-FT,403.5886155997524,403.5886155997524,12.665804648083437,12.665804648083437,0.7420154171557647,0.39374457089926856,0.3824180164983603,4.883661105490752,20.08951506631637,0.6031475102715472,0.3802654525935291,0.30367813319423814,Nature,1,12,768,696,True,563,63,0
m4_weekly/W/short,TTM-R3-FT,253884.70937659804,253884.70937659804,254.08522669120086,254.08522669120086,1.9098533322237519,0.06325131357574042,0.06380515986857123,15.3280001100683,503.86973453125563,0.09179725699145697,0.04629039065821869,0.03690842069521364,Econ/Fin,1,13,156,80,True,62097,50000,0
solar/D/short,TTM-R3-FT,147182.26691773196,147182.26691773196,253.6894290410109,253.6894290410109,0.9911877602680546,1.1740057083009428,0.42159456144386853,5.485090052779247,383.6434111485977,0.5542340584852382,0.3664948172347004,0.2878593062279252,Energy,1,30,512,305,True,1137,1000,0
m4_yearly/A/short,TTM-R3-FT,3417316.486130712,3417316.486130712,870.1687165882122,870.1687165882122,3.198365218208955,0.1809767950375419,0.14117531883070286,34.10385570424255,1848.5985194548632,0.29643135182938046,0.1395355921057141,0.11760190515792103,Econ/Fin,1,6,156,13,True,1000,22974,0
solar/H/short,TTM-R3-FT,737.0740577738136,737.0740577738136,11.806082775913938,11.806082775913938,0.9118981311360538,4.487812162413457,1.422160939589077,13.612883704857563,27.14910786331318,1.0007251118674214,0.4351761231391232,0.36099801881856497,Energy,1,48,2048,7848,True,1137,1000,0
solar/W/short,TTM-R3-FT,1466716.891244182,1466716.891244182,920.815589292206,920.815589292206,1.007424796469512,0.21182658045448358,0.1819981877791881,4.609095578784829,1211.0808772514665,0.24721188556327925,0.18796148330044385,0.14594404392081362,Energy,1,8,156,44,True,260,14,0
solar/H/medium,TTM-R3-FT,766.2542628007888,766.2542628007888,11.545624541948236,11.545624541948236,0.8843085911263986,4.534739772616065,1.4136436812925979,8.606412201499838,27.68129806928838,0.9971449649216522,0.4159003436205368,0.33157946656248466,Energy,1,480,2048,7800,True,1137,1000,0
saugeen/W/short,TTM-R3-FT,844.2550998109388,844.2550998109388,15.259037859502413,15.259037859502413,1.2377367320122747,0.46896720466234143,0.41867524050210375,15.903710292171619,29.05606820977227,0.8770815797686188,0.46060674606553836,0.39325173874141345,Nature,1,8,2048,3231,True,130,15,0
bizitobs_l2c/5T/long,TTM-R3-FT,63.812041794387945,63.812041794387945,5.03492325074722,5.03492325074722,0.5009764452188179,0.4019886338942643,0.7053264447082792,3.3686494467776247,7.988243974390613,0.44852795671583817,0.2827034133056749,0.22523988210374382,Web/CloudOps,7,720,2048,28368,True,4772,19086,0
us_births/M/short,TTM-R3-FT,58323928.04201528,58323928.04201528,6012.049530059856,6012.049530059856,0.6815130540386622,0.018420175482823556,0.018680341916723953,6.403700034161223,7637.010412590471,0.023720502273026807,0.01867338485073005,0.015481687668127677,Healthcare,1,12,156,216,False,0,0,0
solar/H/long,TTM-R3-FT,826.8310942119621,826.8310942119621,12.138297343365444,12.138297343365444,0.9225603162979931,7.238477466278384,1.4049095318992704,9.288098989682432,28.754670824267176,0.9969768413757846,0.42085689031277485,0.3364910545536033,Energy,1,720,2048,7320,True,1137,1000,0
solar/10T/short,TTM-R3-FT,33.708637878810435,33.708637878810435,2.556472637144358,2.556472637144358,1.1211823219805181,6.480049916148665,1.5456368731887682,22.140766227019107,5.8059140433535905,1.6889397081006239,0.7436775875951195,0.6671856463597154,Energy,1,48,2048,51600,True,10137,1000,0
